idAtleta,Nome,Escalao,Telemovel,Email,Categoria_idCategoria
1,"Andre Fonseca",Senior,910000005,rasputin@gmail.com,11
2,"Mariana Pereira",Senior,910000006,mulan@gmail.com,4
3,"Gonçalo Garcia",Senior,910000011,golias@gmail.com,15
4,"Artur Ribeiro",Junior,910000012,flash@gmail.com,1
5,"Davide Matos",Junior,910000014,groot@gmail.com,2
6,"Pedro Medeiros",Junior,910000024,preacher@gmail.com,6
7,"Nuno Silva",Juvenil,910000025,mineiro@gmail.com,8
8,"Joao Duarte",Juvenil,910000027,zet@gmail.com,18
9,"Pedro Lima",Juvenil,910000032,eddy@gmail.com,12
10,"Francisco Freitas",Infantil,910000045,cyborg@gmail.com,7
11,"Shahzod Yusupov",Infantil,910000047,balboa@gmail.com,9
12,"Alexandre Pacheco",Infantil,910000051,megamind@gmail.com,3
13,"Fabio Silva",Senior,910000053,frota@gmail.com,6
14,"Diogo Sobral",Junior,910000054,ambrosio@gmail.com,5
15,"Ines Alves",Juvenil,910000059,sbentas@gmail.com,19
16,"Pedro Pinto",Infantil,910000062,random@gmail.com,1
